Museum,Predicate,Object ID
大都会博物馆,包含,1
大都会博物馆,包含,2
大都会博物馆,包含,3
大都会博物馆,包含,4
大都会博物馆,包含,5
大都会博物馆,包含,6
大都会博物馆,包含,7
大都会博物馆,包含,8
大都会博物馆,包含,9
大都会博物馆,包含,10
大都会博物馆,包含,11
大都会博物馆,包含,12
大都会博物馆,包含,13
大都会博物馆,包含,14
大都会博物馆,包含,15
大都会博物馆,包含,16
大都会博物馆,包含,17
大都会博物馆,包含,18
大都会博物馆,包含,19
大都会博物馆,包含,20
大都会博物馆,包含,21
大都会博物馆,包含,22
大都会博物馆,包含,23
大都会博物馆,包含,24
大都会博物馆,包含,25
大都会博物馆,包含,26
大都会博物馆,包含,27
大都会博物馆,包含,28
大都会博物馆,包含,29
大都会博物馆,包含,30
大都会博物馆,包含,31
大都会博物馆,包含,32
大都会博物馆,包含,33
大都会博物馆,包含,34
大都会博物馆,包含,35
大都会博物馆,包含,36
大都会博物馆,包含,37
大都会博物馆,包含,38
大都会博物馆,包含,39
大都会博物馆,包含,40
大都会博物馆,包含,41
大都会博物馆,包含,42
大都会博物馆,包含,43
大都会博物馆,包含,44
大都会博物馆,包含,45
大都会博物馆,包含,46
大都会博物馆,包含,47
大都会博物馆,包含,48
大都会博物馆,包含,49
大都会博物馆,包含,50
大都会博物馆,包含,51
大都会博物馆,包含,52
大都会博物馆,包含,53
大都会博物馆,包含,54
大都会博物馆,包含,55
大都会博物馆,包含,56
大都会博物馆,包含,57
大都会博物馆,包含,58
大都会博物馆,包含,59
大都会博物馆,包含,60
大都会博物馆,包含,61
大都会博物馆,包含,62
大都会博物馆,包含,63
大都会博物馆,包含,64
大都会博物馆,包含,65
大都会博物馆,包含,66
大都会博物馆,包含,67
大都会博物馆,包含,68
大都会博物馆,包含,69
大都会博物馆,包含,70
大都会博物馆,包含,71
大都会博物馆,包含,72
大都会博物馆,包含,73
大都会博物馆,包含,74
大都会博物馆,包含,75
大都会博物馆,包含,76
大都会博物馆,包含,77
大都会博物馆,包含,78
大都会博物馆,包含,79
大都会博物馆,包含,80
大都会博物馆,包含,81
大都会博物馆,包含,82
大都会博物馆,包含,83
大都会博物馆,包含,84
大都会博物馆,包含,85
大都会博物馆,包含,86
大都会博物馆,包含,87
大都会博物馆,包含,88
大都会博物馆,包含,89
大都会博物馆,包含,90
大都会博物馆,包含,91
大都会博物馆,包含,92
大都会博物馆,包含,93
大都会博物馆,包含,94
大都会博物馆,包含,95
大都会博物馆,包含,96
大都会博物馆,包含,97
大都会博物馆,包含,98
大都会博物馆,包含,99
大都会博物馆,包含,100
大都会博物馆,包含,101
大都会博物馆,包含,102
大都会博物馆,包含,103
大都会博物馆,包含,104
大都会博物馆,包含,105
大都会博物馆,包含,106
大都会博物馆,包含,107
